ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,length,width,depth,spine_length,tip_distance,spine_num,upper_spines,lower_spines,country,location,notes
1,CDRS_92,Herbarium,1963,South America,island,Galapagos,Galapagos,Darwin,1,1,4.5,1.91,3.21,3.29,7.61,2,1,0,Ecuador,Culpepper,
2,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,1,12.83,5.28,5.2,0,0,2,0,0,Ecuador,Culpepper,
17,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,3,6.9,2.8,4.78,2.77,6.57,2,1,0,Ecuador,Camp site,
18,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,4,5.48,2.62,4.32,3.48,5.73,2,1,0,Ecuador,Camp site,
19,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,5,6.54,2.99,5.1,3.19,6.73,2,1,0,Ecuador,Camp site,
20,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,6,6.17,3.18,5.03,2.21,6.17,2,1,0,Ecuador,Camp site,
21,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,7,6.47,2.38,4.55,3.75,7.12,2,1,0,Ecuador,Camp site,
22,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,8,6.2,2.78,5.09,3.32,6.21,2,1,0,Ecuador,Camp site,
23,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,9,5.8,2.11,4.63,2.78,6.66,2,1,0,Ecuador,Camp site,
24,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,10,4.78,2.17,4.04,1.93,4.21,2,1,0,Ecuador,Camp site,
25,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,11,5.96,2.51,4.79,2.9,7.13,2,1,0,Ecuador,Camp site,
26,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,12,5.93,2.67,5,3.11,6.38,2,1,0,Ecuador,Camp site,
27,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,13,5.01,2.58,4.1,2.78,5.16,2,1,0,Ecuador,Camp site,
28,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,14,5.02,1.88,2.62,2,3.55,2,1,0,Ecuador,Camp site,
29,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,1,7.63,3.79,5.58,3.94,9.16,2,1,0,Ecuador,Loberia,
30,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,2,7.58,3.94,5.73,4.62,8.77,2,1,0,Ecuador,Loberia,
31,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,3,5.9,2.67,4.64,3.32,6.3,2,1,0,Ecuador,Loberia,
32,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,4,6.48,3.7,5.16,3.64,7.98,2,1,0,Ecuador,Loberia,
33,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,5,7.2,4.12,4.93,4.15,7.99,2,1,0,Ecuador,Loberia,
