ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,length,width,depth,spine_length,tip_distance,spine_num,lower_spines,country,location,notes
1,CDRS_92,Herbarium,1963,South America,island,Galapagos,Galapagos,Darwin,1,1,4.5,1.91,3.21,3.29,7.61,2,0,Ecuador,Culpepper,
2,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,1,12.83,5.28,5.2,0,0,2,0,Ecuador,Culpepper,
3,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,2,13.89,4.48,5.31,0,0,2,0,Ecuador,Culpepper,
4,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,3,11.54,3.93,7.08,0,0,2,0,Ecuador,Culpepper,
5,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,4,12.71,4.78,5.94,0,0,2,0,Ecuador,Culpepper,
6,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,5,14.63,5.03,5.5,0,0,2,0,Ecuador,Culpepper,
7,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,6,7.23,2.74,4.95,4.01,5.55,4,1,Ecuador,Daphne Mayor,
8,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,7,7.38,2.93,4.95,4.07,6.31,4,1,Ecuador,Daphne Mayor,
9,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,8,6.24,2.53,4.22,2.81,5.85,4,1,Ecuador,Daphne Mayor,
10,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,9,7.24,2.66,4.72,3.5,6.77,4,1,Ecuador,Daphne Mayor,
11,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,10,6.02,2.44,4.32,2.55,3.76,4,1,Ecuador,Daphne Mayor,
12,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,7.54,2.93,4.89,4.13,9.14,4,1,Ecuador,Puerto Ayora,
13,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,6.19,2.78,4.23,4.11,8.34,4,1,Ecuador,Puerto Ayora,
14,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,3,7.68,3.36,5.24,6.88,13.32,4,1,Ecuador,Puerto Ayora,
15,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,1,5.08,2.13,4.17,1.96,4.94,2,0,Ecuador,Camp site,
16,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,2,6.32,2.78,4.48,3.13,6,2,0,Ecuador,Camp site,
17,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,3,6.9,2.8,4.78,2.77,6.57,2,0,Ecuador,Camp site,
18,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,4,5.48,2.62,4.32,3.48,5.73,2,0,Ecuador,Camp site,
19,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,5,6.54,2.99,5.1,3.19,6.73,2,0,Ecuador,Camp site,
20,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,6,6.17,3.18,5.03,2.21,6.17,2,0,Ecuador,Camp site,
21,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,7,6.47,2.38,4.55,3.75,7.12,2,0,Ecuador,Camp site,
22,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,8,6.2,2.78,5.09,3.32,6.21,2,0,Ecuador,Camp site,
23,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,9,5.8,2.11,4.63,2.78,6.66,2,0,Ecuador,Camp site,
